name,platform,release year,genre,publisher,north america sales,europe sales,japan sales,rest of world sales,global_sales,release_date,critic_score,critic outof,critic count,user score,user count,developer,rating
Chameleon,PSP,2006,Puzzle,505 Games,0.05,0.00,0.00,0.00,0.06,"May  5, 2008",,,,tbd,,Starfish,E
Kamen Rider: Ultra Climax Heroes,PSP,2012,Fighting,Namco Bandai Games,0.00,0.00,0.06,0.00,0.06,,,,,,,,
Kamen Rider: Dragon Knight,Wii,2009,Fighting,D3Publisher,0.05,0.00,0.00,0.00,0.06,"Nov 17, 2009",,,,tbd,,Eighting,T
Nendoroid Generation,PSP,2012,Role-Playing,Namco Bandai Games,0.00,0.00,0.06,0.00,0.06,,,,,,,,
All Kamen Rider: Rider Generation 2,PSP,2012,Action,Namco Bandai Games,0.00,0.00,0.06,0.00,0.06,,,,,,,,
Family Trainer: Treasure Adventure,Wii,2010,Sports,Namco Bandai Games,0.00,0.05,0.00,0.01,0.06,TBA,,,,,,Namco Bandai Games,
Ultimate Marvel vs. Capcom 3,X360,2011,Fighting,Capcom,0.00,0.02,0.04,0.00,0.06,"Nov 15, 2011",79,100,44,6.4,65,Capcom,T
Hajime no Ippo Portable: Victorious Spirits,PSP,2007,Fighting,Grand Prix Games,0.00,0.00,0.06,0.00,0.06,,,,,,,,
Major League Baseball 2K12,PSP,2012,Sports,Take-Two Interactive,0.05,0.00,0.00,0.00,0.06,"Mar  6, 2012",,,,tbd,,Visual Concepts,E
Vitamin X to Z,PSP,2011,Adventure,D3Publisher,0.00,0.00,0.06,0.00,0.06,,,,,,,,
Spy Fox in Dry Cereal,Wii,2008,Adventure,Majesco Entertainment,0.05,0.00,0.00,0.00,0.06,"Aug 29, 2008",,,,tbd,,Humongous Entertainment,E
Minna no Sukkiri,PSP,2009,Sports,Sony Computer Entertainment,0.00,0.00,0.06,0.00,0.06,,,,,,,,
James Bond 007: Legends,WiiU,2012,Shooter,Activision,0.03,0.03,0.00,0.01,0.06,,,,,,,,
Fast Food Panic,Wii,2009,Simulation,Nobilis,0.05,0.00,0.00,0.00,0.06,"Jan 27, 2010",57,100,6,tbd,,Dorasu,E
Akiba's Trip 2,PSV,2013,Action,Acquire,0.00,0.00,0.06,0.00,0.06,,,,,,,,
Jissen Pachislot Hisshouhou! Hokuto no Ken Portable SE,PSP,2006,Misc,Sega,0.00,0.00,0.06,0.00,0.06,,,,,,,,
